Transaction ID,Customer ID,Product ID,Transaction Date,Quantity,Total Amount,Currency,Payment Method
1e0c8016-176b-4bf1-b935-142ebd32893a,5b0d1a1a-3aeb-4eec-bee4-f4439f738a4f,5b4e98a7-737c-47ce-a881-0939dd87ed0b,2/28/24,9,240,USD,Bank Transfer
edd97c94-46fb-492c-b836-c5764db29b38,c4885740-a067-42d1-81b1-6d3fe164ed3e,b5e52de9-a11f-4fe4-8704-ed856558c277,1/5/24,6,148,USD,Credit Card
4e287c20-ef1d-4703-ae50-c36436a93944,c9181f99-2749-411e-b1a8-1cc0cdfcfa4f,5d9e6dc8-2b8b-48e6-b9af-2c51fcbf353b,2/23/24,9,570,USD,Credit Card
4fe8799f-8fc3-4c65-9e66-503e6d4c421f,27b2074c-fce9-45c2-9d29-227efa6b6fb2,17f360d9-e906-4154-919b-06c12a940272,2/10/24,8,349,USD,Credit Card
c30edb03-c7ad-4306-8b81-90c7822c73c8,fc9a1b66-4e6b-439f-93ea-a6abc641c30b,b03e12c2-ad92-4d7f-9096-b0426e34e288,6/27/24,2,120,USD,PayPal
97f6f3fc-072f-49b5-a3c4-82e96254f63d,5b9d7284-cd2a-4397-ad1c-f4b97de62df4,9457106a-2e76-4a40-8120-0ec8228104cc,6/30/24,2,907,USD,Bank Transfer
efce5478-8de2-4747-91ef-8d20923ce959,3e6c76bf-0d35-468b-b537-cd518500de0a,b5e52de9-a11f-4fe4-8704-ed856558c277,4/28/24,5,499,USD,Credit Card
43002e38-600d-4f1f-bacd-899ba8ab431a,9a193d3d-f66f-4143-ac09-87db68366836,fc2650f2-51ee-4460-93cd-d1878d5d6f4b,6/23/24,5,120,USD,PayPal
64ed0629-c8d7-4d97-be04-7383266c7679,94d412cf-b554-46cd-b005-55a8f79685e2,15d94660-a5a8-4b91-9f08-bbf12cde9a80,5/27/24,8,728,USD,Credit Card
0b695f30-b38e-47f5-adb1-3218f5e77ded,88c60a11-3191-4fe9-8ed3-97cabb1bcd70,d6b4f402-0052-4073-8d45-b4df03c5831d,1/10/24,9,605,USD,Credit Card
d6c33798-248e-4e3e-a53a-4e721352d58f,95ff59d0-c80e-4cac-9b0d-fdbc249c3c0a,ffcf4ae4-833e-4463-b236-a1167dbaa1f7,4/9/24,9,689,USD,Bank Transfer
5260249f-1ea4-4cae-aa0d-949dc8b048ef,529889ff-c1d5-474b-b603-0c54300a9e9a,9457106a-2e76-4a40-8120-0ec8228104cc,1/18/24,6,676,USD,Credit Card
9d772eed-4ae2-49dc-90f2-9188c1cc2419,3ac3e128-2d61-4cc0-a1cb-a0642cb8f567,90f054ea-dbc4-4638-9f00-95e019af8c29,2/15/24,3,591,USD,PayPal
0fded4a5-6c50-4230-9db9-e9b658c79fff,97c76675-dc95-4f38-976c-3994922ad144,c8bda2b4-a320-4cec-98f3-2d8e9269b867,1/1/24,10,725,USD,PayPal
67a0653d-a967-42a8-b408-3d9099e0276e,9889ba4a-8462-4639-88ae-e6789dc1f2a5,26941f34-ef1e-4e05-be79-de9735f5138c,7/28/24,3,112,USD,PayPal
f6d31b87-8a6e-4576-b712-f92431c642d9,e9b07e0c-6656-45c4-b3c7-31938da81741,212e6e24-62d9-4ee2-b7e0-779e3c9a6423,3/19/24,5,159,USD,Credit Card
4bd9a92c-1231-486a-998b-fd4030a813ff,7aed2464-9abf-4e1d-a62c-faebd01cf602,643b8cbd-6aa8-4a78-bb5b-fae13ed2a4d5,6/14/24,7,407,USD,PayPal
d6cd1444-1a5c-47b3-936f-debb8b6e7b17,3efcb0af-88fc-4124-a3fa-3c4bfc903a52,ffcf4ae4-833e-4463-b236-a1167dbaa1f7,6/25/24,4,41,USD,Bank Transfer
63e0843b-1b5f-4710-b078-b985503b9b15,e03e4efe-507c-4904-9e5c-641ea712c5bf,b5e52de9-a11f-4fe4-8704-ed856558c277,3/18/24,9,977,USD,PayPal
69bf3b9a-11d1-4c70-956d-ceb699c4fd71,1b9f3e45-307e-44c1-b172-94c4d974c188,c4a632b2-856c-4622-9f71-65af8071a6dd,7/30/24,3,735,USD,Bank Transfer
89c14762-ba19-4458-ba22-f35d6ee549cb,e6f2a7cc-bf38-4989-b30f-56f190f78b3e,524574cb-a60c-47a4-801a-b5f28ca2c48b,3/28/24,9,893,USD,PayPal
8ce4e9a0-9845-4f16-a50d-b1713f03f625,88c60a11-3191-4fe9-8ed3-97cabb1bcd70,5eac11b9-ec91-42e5-87ef-daae9cb1e473,5/12/24,2,613,USD,Credit Card
e654104c-0c8b-4678-b999-821c6bfd6f7c,5e7c5601-1c28-4602-b94d-73ecf446b189,5eedc85c-f4e6-49f9-8059-1aa666e9641d,5/18/24,10,698,USD,Credit Card
9c43812e-287c-4c51-9ede-fa16cbee9f44,529889ff-c1d5-474b-b603-0c54300a9e9a,c415d166-60a0-431a-9877-48d88b602bf0,7/31/24,3,118,USD,PayPal
553ca510-dc7f-4b7d-ab82-f95fbe60fa54,3035908a-ddc4-414f-b39d-34a25f0f1a88,3a21fdaf-5f5b-4151-9b88-4a17102d6d90,3/18/24,5,230,USD,PayPal
7610ac57-c9c3-4791-a55e-83064b71a123,c4885740-a067-42d1-81b1-6d3fe164ed3e,d4399628-1a6e-4e6e-9696-d925dc02c1e0,3/31/24,7,566,USD,PayPal
0b506c9a-f0a8-4cf0-a485-84518efed910,7ea26d0d-53be-490a-a26d-8aef1719ffe9,ac9fa664-ca62-4daa-9579-8d673b9c3e6d,3/23/24,1,258,USD,Bank Transfer
e405e5e5-9dc6-4de7-8a51-4ba51d8c298c,32ecee8d-7426-44cd-a2e5-759d01e24531,246599ea-e788-46d9-bca3-11d703500823,5/16/24,8,121,USD,PayPal
12330923-f43f-4005-941c-5c9e39f2eda6,571ad02f-af89-4036-8b4e-72b94ca41562,151ab622-31a8-4f26-8242-0b7767468f92,7/27/24,6,52,USD,PayPal
8c42f087-edec-442e-9137-f117f727b65f,f546d5ad-05ae-48c5-b9ad-a3c44fc7d082,5fda682b-6cfe-4db8-8426-1c59720e45d1,4/11/24,3,698,USD,Credit Card
ef19a4d7-2715-42b8-ad37-8f2fdb53f496,1b84a569-a782-4a75-87bc-40db48babae1,dc608ce9-6954-4802-9d41-b0101f1e9ff4,1/4/24,6,118,USD,PayPal
ce78d9d0-28e2-47ca-8fc5-ddbf84988f05,88c60a11-3191-4fe9-8ed3-97cabb1bcd70,fc2650f2-51ee-4460-93cd-d1878d5d6f4b,2/29/24,9,381,USD,Credit Card
a53ecf46-5f62-4488-96cc-2e90501023dd,ef47b385-d215-4451-adbe-f2f89f1e4697,ffcf4ae4-833e-4463-b236-a1167dbaa1f7,5/5/24,4,105,USD,Bank Transfer
60d67577-3df8-4a18-83e8-d990293c6e84,3efcb0af-88fc-4124-a3fa-3c4bfc903a52,6d695a75-ff84-4413-8ffb-8703471a6363,1/29/24,5,231,USD,Credit Card
b0bd201d-abd4-4da3-a731-dc7537f2ce6f,4dbd9243-7de3-49a0-8486-b435f850d6d8,43550cce-a406-46a3-866c-c85927b12615,7/29/24,9,126,USD,PayPal
bbb56e58-b675-4e58-8134-9e5d3534fdca,32ecee8d-7426-44cd-a2e5-759d01e24531,3ca5b47b-127d-4089-8388-1217656ed30d,6/15/24,2,746,USD,Credit Card
ad666817-a4f5-43e5-8ef1-1882555413bb,e24bff87-83e5-4482-bc6b-ca9f89d4ca40,f8d2afe3-3259-45c3-a118-969ca5ebcc9f,6/30/24,4,298,USD,Bank Transfer
3832e0fb-5213-4310-a2ce-868627ff58b2,978272e9-b32d-4ecf-88db-379526203456,7d8ae35f-730d-48b9-a1fc-fd74cb51c0ab,2/18/24,2,15,USD,Bank Transfer
e899d35f-c39f-4a70-a0c5-935647746903,fe671601-079d-4bb0-9038-a74aec73bf89,43550cce-a406-46a3-866c-c85927b12615,6/29/24,9,735,USD,Credit Card
ddc91d35-5d96-4035-90c3-1cf4ca5ba254,0eb69478-7036-4267-804f-cbf828daff97,f3ca3838-b1bf-4bf2-a7ce-b88cfbca708a,5/23/24,2,522,USD,Credit Card
52ec3e75-0d83-414b-8cb5-6ca456990c56,337641d6-e17b-4471-8557-7f33fcd35bf6,e8062d71-3078-4127-8b1e-8c22dc7788ff,1/28/24,3,0,USD,PayPal
6f300e28-1fe7-4609-901f-bd17718d18c1,c9181f99-2749-411e-b1a8-1cc0cdfcfa4f,99154f25-418b-429d-a799-e37f5a76b12a,3/15/24,8,591,USD,Bank Transfer
af9647f0-0d0c-4c4c-b186-9d985e098714,fc9a1b66-4e6b-439f-93ea-a6abc641c30b,4ac24241-f7d9-4248-ba90-e6ab4e7473c0,5/24/24,8,420,USD,Credit Card
f85678bb-573d-41b4-a583-5597d519a9e7,d4b7b255-0fb8-4e5f-a758-b600d1c4293f,9b54dada-a5e4-40b1-83a2-1cdaaeb9d8d0,1/9/24,5,133,USD,Bank Transfer
f377dc89-7bda-4e61-b7cf-21fc3bec9804,59265b55-daa0-403b-85af-f3acda3724c8,6da26db2-747d-4cef-8be5-5c47de076df3,2/12/24,5,327,USD,PayPal
11fd86b5-17df-4100-a84d-989eb1f0ebaa,416bfd60-0fc0-4245-986a-0d5fcf530c23,b5e52de9-a11f-4fe4-8704-ed856558c277,4/1/24,7,754,USD,Bank Transfer
f28269fa-4d9e-41d3-9d90-8da867f2ffb7,f43643db-8a7c-4b08-9b54-e2994d25080b,f3ca3838-b1bf-4bf2-a7ce-b88cfbca708a,4/12/24,6,489,USD,Credit Card
3910710b-3be6-467c-b84c-175a47715ecf,529889ff-c1d5-474b-b603-0c54300a9e9a,a09a370e-ec0f-4861-96a7-d4fe815ac349,2/16/24,2,197,USD,Credit Card
d218bbfd-0276-4c6d-9b85-775d9eca3900,8f944791-c23a-4f0a-a00f-0dcfa7fa108b,246599ea-e788-46d9-bca3-11d703500823,7/1/24,10,236,USD,Bank Transfer
64aa2a04-218b-4a36-a291-232a0de415ce,4cfb4d7e-fe9d-496d-ad26-860833892a38,c8bda2b4-a320-4cec-98f3-2d8e9269b867,4/11/24,3,33,USD,Credit Card
f481b13c-fada-4568-9152-5c3851060957,79bc25ee-8b8f-42c8-af49-7ad3a0bc8c8c,c4a632b2-856c-4622-9f71-65af8071a6dd,5/17/24,1,129,USD,PayPal
bb7567ce-21e7-45de-97ad-f8c5a491d042,95ff59d0-c80e-4cac-9b0d-fdbc249c3c0a,a09a370e-ec0f-4861-96a7-d4fe815ac349,3/20/24,6,661,USD,Credit Card
0571a84c-881e-4e13-a8b3-de9b3b78b913,613ed389-1153-4047-bee3-a65f528d4435,e8062d71-3078-4127-8b1e-8c22dc7788ff,4/9/24,2,174,USD,Credit Card
8a7f1bed-fb40-40bb-ade3-359bb3b34775,4cfb4d7e-fe9d-496d-ad26-860833892a38,c415d166-60a0-431a-9877-48d88b602bf0,2/1/24,8,343,USD,Credit Card
61537843-dcc5-4a51-b609-aa8a17636e60,57a5d940-dd9f-4e57-bd56-8f2baea45d4e,9019a71d-1f9b-48a6-b412-b5e8e86e09c1,2/23/24,4,666,USD,Bank Transfer
b0d08008-cad9-47b2-8de6-30809e336adf,97c76675-dc95-4f38-976c-3994922ad144,15d94660-a5a8-4b91-9f08-bbf12cde9a80,5/4/24,1,289,USD,Credit Card
3ac46774-95d5-4ba8-a5cb-92a71000dd7b,7d1cbbce-b518-4e3e-89dd-8216df0b8ec3,a6912675-690e-40cc-89b9-7eedcf26f2de,3/27/24,1,463,USD,Bank Transfer
e0440f1f-9e76-4212-8953-39cfb0723d66,15eab8b1-8854-40a5-94ac-e5b079de323f,c415d166-60a0-431a-9877-48d88b602bf0,1/27/24,4,874,USD,Credit Card
9a8b3fe0-5cde-48f6-8b4f-c5ce39c1f298,66e9526b-c1fe-4196-8299-6f1d1485097b,a6912675-690e-40cc-89b9-7eedcf26f2de,1/18/24,10,632,USD,Credit Card
572c06bf-7e35-4eda-868e-d0a4ab4075fd,61925a93-8392-4ae5-9a3c-a3a2801df4e1,7a86e104-e53a-4553-b132-1c3fd2d4a570,1/4/24,10,510,USD,PayPal
f41572a0-a72c-49e4-b23e-fc3ab23ca772,3e6c76bf-0d35-468b-b537-cd518500de0a,7d8ae35f-730d-48b9-a1fc-fd74cb51c0ab,2/23/24,4,762,USD,Bank Transfer
2c039728-b9b1-4206-aa0a-2f005c6ca9ac,f59b4092-99e2-46b8-8898-c8b4a13d4746,4185d094-9703-4322-847c-b2812bc2f78d,7/16/24,3,348,USD,Bank Transfer
b2b72f94-6e6f-4a5a-a40b-bde8afb1d73e,e511764e-34eb-409b-9c92-e78299e22c6b,cbfbe80d-799b-4a14-8697-ed187f5f73eb,2/17/24,4,395,USD,PayPal
fea256c2-32d6-45aa-a92a-2d1396358fdb,c9181f99-2749-411e-b1a8-1cc0cdfcfa4f,a09a370e-ec0f-4861-96a7-d4fe815ac349,2/11/24,2,948,USD,Credit Card
3678011c-d961-4a46-9fb5-6dd3b7c78ef0,400fe65a-d25a-4e94-ba69-b25a674d770c,55b1b8dd-5e71-442f-9596-067c6a4aae3c,7/14/24,7,390,USD,Bank Transfer
56b0db94-9985-4b1d-a00e-8739d2852387,2e9f73b5-d332-40d6-aecf-e330ce7a0e29,ac9fa664-ca62-4daa-9579-8d673b9c3e6d,5/14/24,7,478,USD,PayPal
e4a388ca-32f8-4b34-bf66-5dbaf3212d22,27b2074c-fce9-45c2-9d29-227efa6b6fb2,05781db4-d6a2-4274-980e-44278fc449f1,2/2/24,7,159,USD,Credit Card
972831ff-df44-43e4-b48b-e08b7b3e4417,e3489462-7893-4d96-aeb4-7bfe54603ced,7a86e104-e53a-4553-b132-1c3fd2d4a570,3/24/24,1,406,USD,Bank Transfer
d41daac8-b156-4a8b-8f54-29f069024936,8f944791-c23a-4f0a-a00f-0dcfa7fa108b,5eedc85c-f4e6-49f9-8059-1aa666e9641d,1/15/24,1,734,USD,PayPal
09bb0ef9-0175-44c2-9794-cb49c2c1de7c,5d6254cc-3543-4827-8db3-97e860f633d7,7161430b-add5-437a-b085-70678408f601,2/4/24,1,466,USD,PayPal
5d813e42-c0d0-46ba-866f-88580bec7b6a,045159f9-c20c-45d9-b449-cd1c56647351,0d72b4e1-2a02-41f3-a1e0-83648a527fef,4/9/24,4,91,USD,Credit Card
b4b3d996-86d0-4cb9-90a7-d8730a2ebf6d,d4b7b255-0fb8-4e5f-a758-b600d1c4293f,d6b4f402-0052-4073-8d45-b4df03c5831d,3/27/24,3,393,USD,PayPal
858bbe17-39c0-43d3-a2d0-d3c2fdd46ac2,d0fff9f2-d2a0-4e90-a322-d95b6b6df29d,90f054ea-dbc4-4638-9f00-95e019af8c29,7/9/24,5,55,USD,Credit Card
d8483b89-bc3a-4207-b79f-a70f25a3cee3,e3489462-7893-4d96-aeb4-7bfe54603ced,b5e52de9-a11f-4fe4-8704-ed856558c277,5/22/24,9,988,USD,Bank Transfer
b2ed9773-3cc0-457c-9b8d-4a68f7508e7a,a80a9182-a66c-484d-bd00-66e3adec03fb,c4a632b2-856c-4622-9f71-65af8071a6dd,7/2/24,6,48,USD,Bank Transfer
2bfb9a34-6b16-4ac1-9d8a-18c105490fd8,ea129dcb-bb91-4f76-84a6-58127d089cfb,4decbd4c-aae6-45bd-9bfa-b4cf46be7634,5/15/24,2,965,USD,Bank Transfer
96ece02b-2eec-453a-a7af-f4d91de4e3c9,3279bed5-7b88-4d50-83d8-a0e67b19e4ad,67940cd7-3944-4be0-aadf-89816da14b67,3/8/24,4,239,USD,Credit Card
d38b8d7f-f29f-47b6-9c70-82a3314b9461,57a5d940-dd9f-4e57-bd56-8f2baea45d4e,0d72b4e1-2a02-41f3-a1e0-83648a527fef,1/30/24,9,149,USD,Bank Transfer
d8096066-f877-4dcd-8026-e4f5e31aa840,4af784da-a568-4677-95a6-d20b136a990a,f3ca3838-b1bf-4bf2-a7ce-b88cfbca708a,6/18/24,7,412,USD,Bank Transfer
4debef9b-1e2b-4787-8853-df2a9358a83e,0eb69478-7036-4267-804f-cbf828daff97,32231716-fc5f-4d29-ba5d-6966d5a3f67c,2/13/24,8,749,USD,Credit Card
735a3ffd-ebd2-40d6-8a58-18c62e8c3c79,3ac3e128-2d61-4cc0-a1cb-a0642cb8f567,2ccfda42-9640-4d8c-8a06-be79e7b44f55,5/21/24,5,911,USD,Credit Card
7f0a5b31-71be-4bb3-a2e4-5fd5d6769546,529889ff-c1d5-474b-b603-0c54300a9e9a,17f360d9-e906-4154-919b-06c12a940272,6/9/24,10,265,USD,PayPal
720135c3-0a8f-4d94-b9b9-759db45b5e6c,613ed389-1153-4047-bee3-a65f528d4435,4b09f785-4c53-458b-a099-b7a627acb64d,5/29/24,5,661,USD,Credit Card
15c57efc-2eae-4262-87b3-bd7cb6105d7c,7ea26d0d-53be-490a-a26d-8aef1719ffe9,e8062d71-3078-4127-8b1e-8c22dc7788ff,7/3/24,6,764,USD,Credit Card
b9c6df75-7fdf-49af-910c-3ac010ea4916,b3605049-3be4-427c-994a-6c87c1ee8d21,1119b91c-73ea-4680-9e25-3c0ecea99071,2/1/24,8,173,USD,Bank Transfer
a1cc0980-1c10-419f-b455-ccc3be92cff7,76726cb5-c265-4f46-a1cf-07d3b1eea5ec,1894b4af-47f4-47f4-8ba7-041adae273ce,1/3/24,3,12,USD,Credit Card
21ad6880-ed9d-41ab-94bc-568d3da128f0,b384f966-3619-4b8c-966e-6cfaf6b19f6e,cbfbe80d-799b-4a14-8697-ed187f5f73eb,3/27/24,3,160,USD,Bank Transfer
2bc7a3c4-ccd9-48c9-bd53-45636447786e,0cbb6fef-8b6c-4fa3-8685-fc46dbb0c191,643b8cbd-6aa8-4a78-bb5b-fae13ed2a4d5,6/30/24,8,200,USD,PayPal
ff9fa072-45f8-4bec-9880-f968eb52b77b,1fc547e3-a58d-40ac-8eaf-501d8d3e1e9b,36dccfaf-f392-4525-bbd3-116ca9a44910,4/3/24,3,378,USD,Bank Transfer
5db6dee6-b887-4bd2-a84a-945ac2064b1e,66e9526b-c1fe-4196-8299-6f1d1485097b,7e1f224c-4dd2-4e54-a718-dc4dfd9629c6,4/9/24,1,197,USD,Credit Card
311a3cd8-7a98-4923-a8ac-a9e59df7b787,ef47b385-d215-4451-adbe-f2f89f1e4697,60d2bdb7-cd28-447d-9f90-59968186a5ed,3/10/24,3,698,USD,Credit Card
238fae76-8d34-46f8-9074-a653c1e79fa9,27b2074c-fce9-45c2-9d29-227efa6b6fb2,d6b4f402-0052-4073-8d45-b4df03c5831d,5/16/24,9,80,USD,Bank Transfer
e191d082-b98e-4ada-afcc-fdcd22895733,b384f966-3619-4b8c-966e-6cfaf6b19f6e,5777ebb5-b16c-419a-984b-1a90677a9df3,5/21/24,6,403,USD,Credit Card
4884122b-225a-47e3-b992-2c93cf28d7bd,0093f351-972e-47f5-ae71-bb26d60931ff,5b4e98a7-737c-47ce-a881-0939dd87ed0b,8/4/24,3,785,USD,Credit Card
35e87fd8-0877-4707-9044-0405e3a53d02,ef47b385-d215-4451-adbe-f2f89f1e4697,15ed603b-8a22-44dd-bd1a-983b7c60b28f,4/17/24,9,652,USD,PayPal
99b3ee8b-e2b8-484e-836a-a2bc31d92639,b5840e09-da70-41db-be50-d585f13141ab,bad6e87d-61f9-499f-98e0-8d86b075a85a,5/2/24,1,486,USD,Credit Card
90cd88ee-23f9-4f09-86fe-7860cca84821,2e9f73b5-d332-40d6-aecf-e330ce7a0e29,bdb1e0d9-8fde-4ebb-946c-461f01b01997,7/14/24,5,634,USD,PayPal
209d4198-3409-4805-8dbc-df7e8a0bae2e,836e614e-e209-4735-a791-9d7aaf4ce222,205a6de0-435a-4d0a-87c3-9218c321cba4,2/17/24,10,711,USD,Credit Card
e9a70e7f-102c-4e23-adf8-11c413cdf636,b5840e09-da70-41db-be50-d585f13141ab,7161430b-add5-437a-b085-70678408f601,3/3/24,5,15,USD,Bank Transfer
eea1c23c-f6aa-4b48-ae18-00c1ddbdab93,97c76675-dc95-4f38-976c-3994922ad144,524574cb-a60c-47a4-801a-b5f28ca2c48b,7/21/24,7,260,USD,PayPal
0571a84c-881e-4e13-a8b3-de9b3b78b913,613ed389-1153-4047-bee3-a65f528d4435,e8062d71-3078-4127-8b1e-8c22dc7788ff,4/9/24,2,169.22,USD,Credit Card
6f300e28-1fe7-4609-901f-bd17718d18c1,c9181f99-2749-411e-b1a8-1cc0cdfcfa4f,99154f25-418b-429d-a799-e37f5a76b12a,3/15/24,8,542.51,USD,Bank Transfer
60d67577-3df8-4a18-83e8-d990293c6e84,3efcb0af-88fc-4124-a3fa-3c4bfc903a52,6d695a75-ff84-4413-8ffb-8703471a6363,1/29/24,5,271.1,USD,Credit Card
2c039728-b9b1-4206-aa0a-2f005c6ca9ac,f59b4092-99e2-46b8-8898-c8b4a13d4746,4185d094-9703-4322-847c-b2812bc2f78d,7/16/24,3,376.06,USD,Bank Transfer
7610ac57-c9c3-4791-a55e-83064b71a123,c4885740-a067-42d1-81b1-6d3fe164ed3e,d4399628-1a6e-4e6e-9696-d925dc02c1e0,3/31/24,7,523.1,USD,PayPal
52ec3e75-0d83-414b-8cb5-6ca456990c56,337641d6-e17b-4471-8557-7f33fcd35bf6,e8062d71-3078-4127-8b1e-8c22dc7788ff,1/28/24,3,0,USD,PayPal
f85678bb-573d-41b4-a583-5597d519a9e7,d4b7b255-0fb8-4e5f-a758-b600d1c4293f,9b54dada-a5e4-40b1-83a2-1cdaaeb9d8d0,1/9/24,5,157.96,USD,Bank Transfer
15c57efc-2eae-4262-87b3-bd7cb6105d7c,7ea26d0d-53be-490a-a26d-8aef1719ffe9,e8062d71-3078-4127-8b1e-8c22dc7788ff,7/3/24,6,756.72,USD,Credit Card
7f0a5b31-71be-4bb3-a2e4-5fd5d6769546,529889ff-c1d5-474b-b603-0c54300a9e9a,17f360d9-e906-4154-919b-06c12a940272,6/9/24,10,212.82,USD,PayPal
f28269fa-4d9e-41d3-9d90-8da867f2ffb7,f43643db-8a7c-4b08-9b54-e2994d25080b,f3ca3838-b1bf-4bf2-a7ce-b88cfbca708a,4/12/24,6,521.25,USD,Credit Card